id,Country ,Date,Brand,Total_increase
2896,Taiwan,2021-06-14,Oxford/AstraZeneca,48940
2895,Taiwan,2021-06-14,ALL,54785
2894,Taiwan,2021-06-15,Moderna,5976
2893,Taiwan,2021-06-15,Oxford/AstraZeneca,143742
2892,Taiwan,2021-06-15,ALL,149718
2891,Taiwan,2021-06-16,Moderna,5622
2890,Taiwan,2021-06-16,Oxford/AstraZeneca,134428
2889,Taiwan,2021-06-16,ALL,140050
2888,Taiwan,2021-06-17,Moderna,3509
2887,Taiwan,2021-06-17,Oxford/AstraZeneca,114061
2886,Taiwan,2021-06-17,ALL,117570
2885,Taiwan,2021-06-18,Moderna,5745
2884,Taiwan,2021-06-18,Oxford/AstraZeneca,78720
2883,Taiwan,2021-06-18,ALL,84465
2882,Taiwan,2021-06-20,Moderna,8772
2881,Taiwan,2021-06-20,Oxford/AstraZeneca,103446
2880,Taiwan,2021-06-20,ALL,112218
2879,Taiwan,2021-06-21,Moderna,9221
2878,Taiwan,2021-06-21,Oxford/AstraZeneca,39592
2877,Taiwan,2021-06-21,ALL,48813
2876,Taiwan,2021-06-22,Moderna,10572
2875,Taiwan,2021-06-22,Oxford/AstraZeneca,38498
2874,Taiwan,2021-06-22,ALL,49070
2873,Taiwan,2021-06-23,Moderna,9172
2872,Taiwan,2021-06-23,Oxford/AstraZeneca,43896
2871,Taiwan,2021-06-23,ALL,53068
2870,Taiwan,2021-06-24,Moderna,9523
2869,Taiwan,2021-06-24,Oxford/AstraZeneca,70457
2868,Taiwan,2021-06-24,ALL,79980
2867,Taiwan,2021-06-25,Moderna,9489
2866,Taiwan,2021-06-25,Oxford/AstraZeneca,54465
2865,Taiwan,2021-06-25,ALL,63954
2864,Taiwan,2021-06-27,Moderna,2058
2863,Taiwan,2021-06-27,Oxford/AstraZeneca,16341
2862,Taiwan,2021-06-27,ALL,18399
2861,Taiwan,2021-06-28,Moderna,4581
2860,Taiwan,2021-06-28,Oxford/AstraZeneca,25039
2859,Taiwan,2021-06-28,ALL,29620
2858,Taiwan,2021-06-29,Moderna,5009
2857,Taiwan,2021-06-29,Oxford/AstraZeneca,29149
2856,Taiwan,2021-06-29,ALL,34158
2855,Taiwan,2021-06-30,Moderna,3156
2854,Taiwan,2021-06-30,Oxford/AstraZeneca,32995
2853,Taiwan,2021-06-30,ALL,36151
2852,Taiwan,2021-07-01,Moderna,22245
2851,Taiwan,2021-07-01,Oxford/AstraZeneca,19514
2850,Taiwan,2021-07-01,ALL,41759
2849,Taiwan,2021-07-02,Moderna,167650
2848,Taiwan,2021-07-02,Oxford/AstraZeneca,16743
2847,Taiwan,2021-07-02,ALL,184393
2846,Taiwan,2021-07-04,Moderna,211303
2845,Taiwan,2021-07-04,Oxford/AstraZeneca,5434
2844,Taiwan,2021-07-04,ALL,216737
2843,Taiwan,2021-07-05,Moderna,77235
2842,Taiwan,2021-07-05,Oxford/AstraZeneca,7356
2841,Taiwan,2021-07-05,ALL,84591
2840,Taiwan,2021-07-06,Moderna,89273
2839,Taiwan,2021-07-06,Oxford/AstraZeneca,7447
2838,Taiwan,2021-07-06,ALL,96720
2837,Taiwan,2021-07-07,Moderna,135878
2836,Taiwan,2021-07-07,Oxford/AstraZeneca,7234
2835,Taiwan,2021-07-07,ALL,143112
2834,Taiwan,2021-07-08,Moderna,202750
2833,Taiwan,2021-07-08,Oxford/AstraZeneca,5814
2832,Taiwan,2021-07-08,ALL,208564
2831,Taiwan,2021-07-09,Moderna,212043
2830,Taiwan,2021-07-09,Oxford/AstraZeneca,9084
2829,Taiwan,2021-07-09,ALL,221127
2828,Taiwan,2021-07-11,Moderna,180411
2827,Taiwan,2021-07-11,Oxford/AstraZeneca,2365
2826,Taiwan,2021-07-11,ALL,182776
2825,Taiwan,2021-07-12,Moderna,218554
2824,Taiwan,2021-07-12,Oxford/AstraZeneca,5044
2823,Taiwan,2021-07-12,ALL,223598
2822,Taiwan,2021-07-13,Moderna,234839
2821,Taiwan,2021-07-13,Oxford/AstraZeneca,7514
2820,Taiwan,2021-07-13,ALL,242353
2819,Taiwan,2021-07-14,Moderna,223796
2818,Taiwan,2021-07-14,Oxford/AstraZeneca,7230
2817,Taiwan,2021-07-14,ALL,231026
2816,Taiwan,2021-07-15,Moderna,234708
2815,Taiwan,2021-07-15,Oxford/AstraZeneca,7566
2814,Taiwan,2021-07-15,ALL,242274
2813,Taiwan,2021-07-16,Moderna,78694
2812,Taiwan,2021-07-16,Oxford/AstraZeneca,201312
2811,Taiwan,2021-07-16,ALL,280006
2810,Taiwan,2021-07-18,Moderna,25552
2809,Taiwan,2021-07-18,Oxford/AstraZeneca,197953
2808,Taiwan,2021-07-18,ALL,223505
2807,Taiwan,2021-07-19,Moderna,25615
2806,Taiwan,2021-07-19,Oxford/AstraZeneca,166665
2805,Taiwan,2021-07-19,ALL,192280
2804,Taiwan,2021-07-20,Moderna,27783
2803,Taiwan,2021-07-20,Oxford/AstraZeneca,201188
2802,Taiwan,2021-07-20,ALL,228971
2801,Taiwan,2021-07-21,Moderna,25397
2800,Taiwan,2021-07-21,Oxford/AstraZeneca,177052
2799,Taiwan,2021-07-21,ALL,202449
2798,Taiwan,2021-07-22,Moderna,27523
2797,Taiwan,2021-07-22,Oxford/AstraZeneca,120202
2796,Taiwan,2021-07-22,ALL,147725
2795,Taiwan,2021-07-23,Moderna,15598
2794,Taiwan,2021-07-23,Oxford/AstraZeneca,236344
2793,Taiwan,2021-07-23,ALL,251942
2792,Taiwan,2021-07-25,Moderna,12991
2791,Taiwan,2021-07-25,Oxford/AstraZeneca,270114
2790,Taiwan,2021-07-25,ALL,283105
2789,Taiwan,2021-07-26,Moderna,13767
2788,Taiwan,2021-07-26,Oxford/AstraZeneca,281817
2787,Taiwan,2021-07-26,ALL,295584
2786,Taiwan,2021-07-27,Moderna,15766
2785,Taiwan,2021-07-27,Oxford/AstraZeneca,247543
2784,Taiwan,2021-07-27,ALL,263309
2783,Taiwan,2021-07-28,Moderna,16155
2782,Taiwan,2021-07-28,Oxford/AstraZeneca,222656
2781,Taiwan,2021-07-28,ALL,238811
2780,Taiwan,2021-07-29,Moderna,15540
2779,Taiwan,2021-07-29,Oxford/AstraZeneca,189960
2778,Taiwan,2021-07-29,ALL,205500
2777,Taiwan,2021-07-30,Moderna,16714
2776,Taiwan,2021-07-30,Oxford/AstraZeneca,223163
2775,Taiwan,2021-07-30,ALL,239877
2774,Taiwan,2021-08-01,Moderna,4438
2773,Taiwan,2021-08-01,Oxford/AstraZeneca,155556
2772,Taiwan,2021-08-01,ALL,159994
2771,Taiwan,2021-08-02,Moderna,8572
2770,Taiwan,2021-08-02,Oxford/AstraZeneca,92027
2769,Taiwan,2021-08-02,ALL,100599
2768,Taiwan,2021-08-03,Moderna,11216
2767,Taiwan,2021-08-03,Oxford/AstraZeneca,75338
2766,Taiwan,2021-08-03,ALL,86554
2765,Taiwan,2021-08-04,Moderna,10215
2764,Taiwan,2021-08-04,Oxford/AstraZeneca,87127
2763,Taiwan,2021-08-04,ALL,97342
2762,Taiwan,2021-08-05,Moderna,9692
2761,Taiwan,2021-08-05,Oxford/AstraZeneca,247085
2760,Taiwan,2021-08-05,ALL,256777
2759,Taiwan,2021-08-06,Moderna,9209
2758,Taiwan,2021-08-06,Oxford/AstraZeneca,257799
2757,Taiwan,2021-08-06,ALL,267008
2756,Taiwan,2021-08-08,Moderna,3172
2755,Taiwan,2021-08-08,Oxford/AstraZeneca,12331
2754,Taiwan,2021-08-08,ALL,15503
2753,Taiwan,2021-08-09,Moderna,5053
2752,Taiwan,2021-08-09,Oxford/AstraZeneca,25164
2751,Taiwan,2021-08-09,ALL,30217
2750,Taiwan,2021-08-10,Moderna,4187
2749,Taiwan,2021-08-10,Oxford/AstraZeneca,27817
2748,Taiwan,2021-08-10,ALL,32004
2747,Taiwan,2021-08-11,Moderna,147810
2746,Taiwan,2021-08-11,Oxford/AstraZeneca,15649
2745,Taiwan,2021-08-11,ALL,163459
2744,Taiwan,2021-08-12,Moderna,143233
2743,Taiwan,2021-08-12,Oxford/AstraZeneca,15473
2742,Taiwan,2021-08-12,ALL,158706
2741,Taiwan,2021-08-13,Moderna,91421
2740,Taiwan,2021-08-13,Oxford/AstraZeneca,42093
2739,Taiwan,2021-08-13,ALL,133514
2738,Taiwan,2021-08-15,Moderna,56977
2737,Taiwan,2021-08-15,Oxford/AstraZeneca,7316
2736,Taiwan,2021-08-15,ALL,64293
2735,Taiwan,2021-08-16,Moderna,31359
2734,Taiwan,2021-08-16,Oxford/AstraZeneca,17793
2733,Taiwan,2021-08-16,ALL,49152
2732,Taiwan,2021-08-17,Moderna,28593
2731,Taiwan,2021-08-17,Oxford/AstraZeneca,20846
2730,Taiwan,2021-08-17,ALL,49439
2729,Taiwan,2021-08-18,Moderna,9179
2728,Taiwan,2021-08-18,Oxford/AstraZeneca,18180
2727,Taiwan,2021-08-18,ALL,27359
2726,Taiwan,2021-08-19,Moderna,9524
2725,Taiwan,2021-08-19,Oxford/AstraZeneca,15202
2724,Taiwan,2021-08-19,ALL,24726
2723,Taiwan,2021-08-20,Moderna,14693
2722,Taiwan,2021-08-20,Oxford/AstraZeneca,25149
2721,Taiwan,2021-08-20,ALL,39842
2720,Taiwan,2021-08-22,Moderna,1749
2719,Taiwan,2021-08-22,Oxford/AstraZeneca,4889
2718,Taiwan,2021-08-22,ALL,6638
2717,Taiwan,2021-08-23,°ªºÝ,167268
2716,Taiwan,2021-08-23,Moderna,4728
2715,Taiwan,2021-08-23,Oxford/AstraZeneca,7219
2714,Taiwan,2021-08-23,ALL,179215
2713,Taiwan,2021-08-24,°ªºÝ,112882
2712,Taiwan,2021-08-24,Moderna,10794
2711,Taiwan,2021-08-24,Oxford/AstraZeneca,13814
2710,Taiwan,2021-08-24,ALL,137490
2709,Taiwan,2021-08-25,°ªºÝ,59450
2708,Taiwan,2021-08-25,Moderna,8246
2707,Taiwan,2021-08-25,Oxford/AstraZeneca,15939
2706,Taiwan,2021-08-25,ALL,83635
2705,Taiwan,2021-08-26,°ªºÝ,48327
2704,Taiwan,2021-08-26,Moderna,12237
2703,Taiwan,2021-08-26,Oxford/AstraZeneca,19193
2702,Taiwan,2021-08-26,ALL,79757
2701,Taiwan,2021-08-27,°ªºÝ,146295
2700,Taiwan,2021-08-27,Moderna,12432
2699,Taiwan,2021-08-27,Oxford/AstraZeneca,24269
2698,Taiwan,2021-08-27,ALL,182996
2697,Taiwan,2021-08-29,°ªºÝ,84573
2696,Taiwan,2021-08-29,Moderna,2881
2695,Taiwan,2021-08-29,Oxford/AstraZeneca,11451
2694,Taiwan,2021-08-29,ALL,98905
2693,Taiwan,2021-08-30,°ªºÝ,742
2692,Taiwan,2021-08-30,Moderna,7330
2691,Taiwan,2021-08-30,Oxford/AstraZeneca,15699
2690,Taiwan,2021-08-30,ALL,23771
2689,Taiwan,2021-08-31,°ªºÝ,504
2688,Taiwan,2021-08-31,Moderna,7999
2687,Taiwan,2021-08-31,Oxford/AstraZeneca,15324
2686,Taiwan,2021-08-31,ALL,23827
2685,Taiwan,2021-09-01,°ªºÝ,536
2684,Taiwan,2021-09-01,Moderna,7732
2683,Taiwan,2021-09-01,Oxford/AstraZeneca,10627
2682,Taiwan,2021-09-01,ALL,18895
2681,Taiwan,2021-09-02,°ªºÝ,530
2680,Taiwan,2021-09-02,Moderna,8941
2679,Taiwan,2021-09-02,Oxford/AstraZeneca,9831
2678,Taiwan,2021-09-02,ALL,19302
2677,Taiwan,2021-09-03,°ªºÝ,1261
2676,Taiwan,2021-09-03,Moderna,6783
2675,Taiwan,2021-09-03,Oxford/AstraZeneca,229189
2674,Taiwan,2021-09-03,ALL,237233
2673,Taiwan,2021-09-05,°ªºÝ,7073
2672,Taiwan,2021-09-05,Moderna,2324
2671,Taiwan,2021-09-05,Oxford/AstraZeneca,115738
2670,Taiwan,2021-09-05,ALL,125135
2669,Taiwan,2021-09-06,°ªºÝ,15171
2668,Taiwan,2021-09-06,Moderna,1162
2667,Taiwan,2021-09-06,Oxford/AstraZeneca,50753
2666,Taiwan,2021-09-06,ALL,67086
2665,Taiwan,2021-09-07,°ªºÝ,7107
2664,Taiwan,2021-09-07,Moderna,1406
2663,Taiwan,2021-09-07,Oxford/AstraZeneca,76172
2662,Taiwan,2021-09-07,ALL,84685
2661,Taiwan,2021-09-08,°ªºÝ,8140
2660,Taiwan,2021-09-08,Moderna,2682
2659,Taiwan,2021-09-08,Oxford/AstraZeneca,95773
2658,Taiwan,2021-09-08,ALL,106595
2657,Taiwan,2021-09-09,°ªºÝ,6577
2656,Taiwan,2021-09-09,Moderna,2020
2655,Taiwan,2021-09-09,Oxford/AstraZeneca,286615
2654,Taiwan,2021-09-09,ALL,295212
2653,Taiwan,2021-09-10,°ªºÝ,8535
2652,Taiwan,2021-09-10,Moderna,5417
2651,Taiwan,2021-09-10,Oxford/AstraZeneca,311089
2650,Taiwan,2021-09-10,ALL,325041
2649,Taiwan,2021-09-12,°ªºÝ,6164
2648,Taiwan,2021-09-12,Moderna,1431
2647,Taiwan,2021-09-12,Oxford/AstraZeneca,139823
2646,Taiwan,2021-09-12,ALL,147418
2645,Taiwan,2021-09-13,°ªºÝ,940
2644,Taiwan,2021-09-13,Moderna,6159
2643,Taiwan,2021-09-13,Oxford/AstraZeneca,6138
2642,Taiwan,2021-09-13,ALL,13237
2641,Taiwan,2021-09-14,°ªºÝ,754
2640,Taiwan,2021-09-14,Moderna,7050
2639,Taiwan,2021-09-14,Oxford/AstraZeneca,6123
2638,Taiwan,2021-09-14,ALL,13927
2637,Taiwan,2021-09-15,°ªºÝ,454
2636,Taiwan,2021-09-15,Moderna,2611
2635,Taiwan,2021-09-15,Oxford/AstraZeneca,198124
2634,Taiwan,2021-09-15,ALL,201189
2633,Taiwan,2021-09-21,°ªºÝ,586
2632,Taiwan,2021-09-21,Moderna,1687
2631,Taiwan,2021-09-21,Oxford/AstraZeneca,212251
2630,Taiwan,2021-09-21,ALL,214524
2629,Taiwan,2021-09-22,BNT,8822
2628,Taiwan,2021-09-22,°ªºÝ,686
2627,Taiwan,2021-09-22,Moderna,23862
2626,Taiwan,2021-09-22,Oxford/AstraZeneca,143429
2625,Taiwan,2021-09-22,ALL,176799
2624,Taiwan,2021-09-23,BNT,87708
2623,Taiwan,2021-09-23,°ªºÝ,562
2622,Taiwan,2021-09-23,Moderna,40420
2621,Taiwan,2021-09-23,Oxford/AstraZeneca,122626
2620,Taiwan,2021-09-23,ALL,251316
2619,Taiwan,2021-09-24,BNT,138254
2618,Taiwan,2021-09-24,°ªºÝ,694
2617,Taiwan,2021-09-24,Moderna,83663
2616,Taiwan,2021-09-24,Oxford/AstraZeneca,37170
2615,Taiwan,2021-09-24,ALL,259781
2614,Taiwan,2021-09-26,BNT,154248
2613,Taiwan,2021-09-26,°ªºÝ,310
2612,Taiwan,2021-09-26,Moderna,49616
2611,Taiwan,2021-09-26,Oxford/AstraZeneca,30120
2610,Taiwan,2021-09-26,ALL,234294
2609,Taiwan,2021-09-27,BNT,242327
2608,Taiwan,2021-09-27,°ªºÝ,13120
2607,Taiwan,2021-09-27,Moderna,23083
2606,Taiwan,2021-09-27,Oxford/AstraZeneca,12380
2605,Taiwan,2021-09-27,ALL,290910
2604,Taiwan,2021-09-28,BNT,231078
2603,Taiwan,2021-09-28,°ªºÝ,12708
2602,Taiwan,2021-09-28,Moderna,31874
2601,Taiwan,2021-09-28,Oxford/AstraZeneca,15781
2600,Taiwan,2021-09-28,ALL,291441
2599,Taiwan,2021-09-29,BNT,226327
2598,Taiwan,2021-09-29,°ªºÝ,10883
2597,Taiwan,2021-09-29,Moderna,66249
2596,Taiwan,2021-09-29,Oxford/AstraZeneca,17190
2595,Taiwan,2021-09-29,ALL,320649
2594,Taiwan,2021-09-30,BNT,140513
2593,Taiwan,2021-09-30,°ªºÝ,176748
2592,Taiwan,2021-09-30,Moderna,62767
2591,Taiwan,2021-09-30,Oxford/AstraZeneca,13455
2590,Taiwan,2021-09-30,ALL,393483
2589,Taiwan,2021-10-01,BNT,136088
2588,Taiwan,2021-10-01,°ªºÝ,147806
2587,Taiwan,2021-10-01,Moderna,46455
2586,Taiwan,2021-10-01,Oxford/AstraZeneca,6981
2585,Taiwan,2021-10-01,ALL,337330
2584,Taiwan,2021-10-03,BNT,21598
2583,Taiwan,2021-10-03,°ªºÝ,106067
2582,Taiwan,2021-10-03,Moderna,97919
2581,Taiwan,2021-10-03,Oxford/AstraZeneca,6084
2580,Taiwan,2021-10-03,ALL,231668
2579,Taiwan,2021-10-04,BNT,22907
2578,Taiwan,2021-10-04,°ªºÝ,3252
2577,Taiwan,2021-10-04,Moderna,169184
2576,Taiwan,2021-10-04,Oxford/AstraZeneca,12864
2575,Taiwan,2021-10-04,ALL,208207
2574,Taiwan,2021-10-05,BNT,30065
2573,Taiwan,2021-10-05,°ªºÝ,2886
2572,Taiwan,2021-10-05,Moderna,117204
2571,Taiwan,2021-10-05,Oxford/AstraZeneca,18247
2570,Taiwan,2021-10-05,ALL,168402
2569,Taiwan,2021-10-06,BNT,22388
2568,Taiwan,2021-10-06,°ªºÝ,7506
2567,Taiwan,2021-10-06,Moderna,67174
2566,Taiwan,2021-10-06,Oxford/AstraZeneca,66672
2565,Taiwan,2021-10-06,ALL,163740
2564,Taiwan,2021-10-07,BNT,30116
2563,Taiwan,2021-10-07,°ªºÝ,9946
2562,Taiwan,2021-10-07,Moderna,42014
